ID,name,author
1,Digital Signal Processing Principles Algorithms and Applications,John G. Proakis
2,Signals and Systems,Alan V. Oppenheim
3,Electronic Devices and Circuit Theory,Robert L. Boylestad
4,Communication Systems,Simon Haykin
5,Microelectronic Circuits,Adel S. Sedra
6,Computer Organization and Design,David A. Patterson
7,Operating System Concepts,Abraham Silberschatz
8,Data Structures and Algorithm Analysis in C,Mark Allen Weiss
9,Computer Networks,Andrew S. Tanenbaum
10,Database System Concepts,Abraham Silberschatz
